Title,Title2,starrating,View,Keywords,Salary,Location,Keywords5,Skill1,Skill2,Skill3,Skill4,Skill5,Skll6,Skill7,Skill8,Type,Type13,Role,Industry_Type_1,Industry_Type_2,Functional_Area,Employment_Type,Role_Category
Data Science/analysis Expert - Machine Learning,Catalyst,,,2-6 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Data Science
Machine Learning
Tableau
analytics
deep learning
algorithms",IT Skills,Python,Data Science,Machine Learning,Tableau,analytics,deep learning,algorithms,PREMIUM,14 DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Internship ON Python DATA Science AND Machine Learning,Wozti Infotech ,,,0-1 Yrs,Not disclosed,"Thrissur, Kozhikode, Kochi","IT Skills
Data Science
Data sc
Python",IT Skills,Data Science,Data sc,Python,,,,,HOT JOB,2 DAYS AGO,IT/Technical Content Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Other
Data Science & Machine Learning Engineer,Pactera Technologies India Private Limited,,,2-5 Yrs,"10,00,000 - 20,00,000 PA.",Hyderabad,"Decision Trees
Machine Learning
Python
IT Skills
Python
Testing
Machine Learning
Cloud",Decision Trees,Machine Learning,Python,IT Skills,Python,Testing,Machine Learning,Cloud,PREMIUM,12 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science Engineer - ETL/Python/R,DATA LABS,,,0-1 Yrs,Not disclosed,Pune,"IT Skills
Python
Testing
Tableau
Data Science
Application Designing
Business Intelligence
R",IT Skills,Python,Testing,Tableau,Data Science,Application Designing,Business Intelligence,R,PREMIUM,7 DAYS AGO,Database Architect/Designer,IT-Software, Software Services,IT Software - DBA,"Full Time, Permanent",Programming & Design
Data Science - Intern,zeotap,4.7,(3 Reviews),0-1 Yrs,Not disclosed,Bengaluru,"Computer science
Health insurance
ISO 27001
Machine learning
Manager Technology
Programming
data privacy
Data mining",Computer science,Health insurance,ISO 27001,Machine learning,Manager Technology,Programming,data privacy,Data mining,,,Software Developer,Media, Entertainment,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Inviting Applications For Python/R + Data Science - Manager - Noida,GENPACT India Private Limited,4,(8477 Reviews),6-8 Yrs,Not disclosed,Noida,"Predictive Modeling
ARIMA/ARIMAX
Forecasting
R
Arima
Data Analysis
Statistical Modeling
SQL Queries",Predictive Modeling,ARIMA/ARIMAX,Forecasting,R,Arima,Data Analysis,Statistical Modeling,SQL Queries,PREMIUM,11 DAYS AGO,Other,KPO, Research,Analytics & Business Intelligence,"Full Time, Permanent",Other
Data Science Engineer - Statistical Modeling/ Machine Learning,Lera Technologies Pvt. Ltd,3.4,(5 Reviews),7-12 Yrs,Not disclosed,India,"IT Skills
Python
Machine Learning
Artificial Intelligence
Data Science
Predictive Modeling
Data Scientist
Artificial Intelligence",IT Skills,Python,Machine Learning,Artificial Intelligence,Data Science,Predictive Modeling,Data Scientist,Artificial Intelligence,PREMIUM,4 DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Science/ Analysis Expert - Machine Learning,Catalyst,,,2-6 Yrs,Not disclosed,Bengaluru,"Regression Algorithms
NLP
Data Scientist
Artificial Intelligence
Data Modeling
Data Warehousing
Data Analytics
ETL",Regression Algorithms,NLP,Data Scientist,Artificial Intelligence,Data Modeling,Data Warehousing,Data Analytics,ETL,PREMIUM,14 DAYS AGO,Data Analyst,Banking, Financial Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Science/ Scientist - Python/ Deep Learning,ICR INDIA CERTIFICATIONS PRIVATE LIMITED ,,,0-3 Yrs,"3,00,000 - 5,00,000 PA.","Chennai, Bengaluru, Hyderabad","python
c++
java",python,c++,java,,,,,,,,Project Manager-IT/Software,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Project Management
Analyst - Data Science,Merkle Inc.,,,1-6 Yrs,Not disclosed,Pune,"IT Skills
Python
Data Science
Tableau
Power BI
Data validation
SAS
Technology solutions",IT Skills,Python,Data Science,Tableau,Power BI,Data validation,SAS,Technology solutions,,9 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Analyst - Data Science,Merkle Sokrati,3.5,(13 Reviews),1-6 Yrs,Not disclosed,Pune,"Analyst
Data validation
data science
SAS
Troubleshooting
Adobe
Digital marketing
Analytics",Analyst,Data validation,data science,SAS,Troubleshooting,Adobe,Digital marketing,Analytics,,10 DAYS AGO,Software Developer,Advertising, PR,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
"Data Science Engineer, SMART MFG & AI",Micron Semiconductor Asia Pte Ltd,5,(2 Reviews),3-6 Yrs,Not disclosed,Hyderabad,"R
Data Analysis
SQL Server
Tableau
Sap Hana
SSIS
Machine Learning
Python",R,Data Analysis,SQL Server,Tableau,Sap Hana,SSIS,Machine Learning,Python,PREFERRED,11 DAYS AGO,,,,,,
Data science Consultant,Dell International Services IndiaPrivate Limited,,,10-15 Yrs,Not disclosed,Bengaluru,"IT Skills
Data Science
Machine Learning
Big Data
Data Transformation
Automation
Business Intelligence
Statistical modeling",IT Skills,Data Science,Machine Learning,Big Data,Data Transformation,Automation ,Business Intelligence,Statistical modeling,PREMIUM,3 DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Sr Data Science Consultants,Larsen & Toubro Infotech Limited,3.6,(1654 Reviews),3-5 Yrs,Not disclosed,India,"IT Skills
Data Science
Machine Learning
Computer science
Data analysis
data science
Consulting
Machine learning",IT Skills,Data Science,Machine Learning,Computer science,Data analysis,data science,Consulting,Machine learning,,9 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - DBA,"Full Time, Permanent",Programming & Design
"Senior Analyst, Data Science",Ingredion,,,3-5 Yrs,Not disclosed,Mumbai,"IT Skills
Python
Data Science
Cloud
Operations research
Analytical
Data collection
market data",IT Skills,Python,Data Science,Cloud,Operations research,Analytical,Data collection,market data,,9 DAYS AGO,System Analyst,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Analyst - Data Science,DataToBiz,,,3-7 Yrs,Not disclosed,Chandigarh,"IT Skills
Python
Cloud
Oracle
AWS
Tableau
Power BI
DataLake",IT Skills,Python,Cloud,Oracle,AWS,Tableau,Power BI,DataLake,PREMIUM,11 DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Science Manager,Talent  Corner HR Services Pvt Ltd,,,5-10 Yrs,Not disclosed,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad","IT Skills
Java
Python
Software Development
Oracle
Big Data
.Net
SAP",IT Skills,Java,Python,Software Development,Oracle,Big Data,.Net,SAP,PREFERRED,14 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - System Programming,"Full Time, Permanent",Programming & Design
Senior Manager- Data Science & Analytics,Novartis Healthcare Pvt. Ltd.,4.2,(558 Reviews),8-10 Yrs,Not disclosed,Hyderabad,"CRO
Medical devices
Data management
Pharma
Analytical
Project management
Clinical trials
Pharmacovigilance",CRO,Medical devices,Data management,Pharma,Analytical,Project management,Clinical trials,Pharmacovigilance,,3 DAYS AGO,,,,,,
Manager Data Science,Reliance Jio Infocomm Ltd.,4,(8440 Reviews),5-7 Yrs,Not disclosed,Hyderabad,"Report generation
Data management
Machine learning
Data structures
Business modeling
Mobile applications
Data warehousing
Predictive analytics",Report generation,Data management,Machine learning,Data structures,Business modeling,Mobile applications,Data warehousing,Predictive analytics,,7 DAYS AGO,Business Analyst,Telcom, ISP,IT Software - Application Programming,"Full Time, Permanent",System Design/Implementation/ERP/CRM
Technical Trainee - Data Science/ Machine Learning,Ideadunes,,,2-6 Yrs,Not disclosed,Pune,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Cloud
AWS
Azure",IT Skills,Python,Data Science,Machine Learning,Artificial Intelligence,Cloud,AWS,Azure,HOT JOB,4 DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Science Analyst - NLP/Machine Learning,Randstad,,,2-7 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Machine Learning
Predictive Modeling
Data Science
R
NLP
Data Management",IT Skills,Python,Machine Learning,Predictive Modeling,Data Science,R,NLP,Data Management,PREMIUM,10 DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Need Data Science - Python,Confidential,,,8-13 Yrs,Not disclosed,"Pune, Bengaluru, Hyderabad","IT Skills
Java
Python
Cloud
AWS
Data Science
Java
Algorithms",IT Skills,Java,Python,Cloud,AWS,Data Science,Java,Algorithms,PREMIUM,14 DAYS AGO,Other,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Other
Online Faculty For Data Science & Business Analytics,LINC Education,,,5-10 Yrs,Not disclosed,"Delhi NCR, Mumbai, Bengaluru","Business Analytics
teaching
Data Science
college
Big Data Analytics
education
university
Data Management",Business Analytics,teaching,Data Science,college,Big Data Analytics,education,university,Data Management,HOT JOB,9 DAYS AGO,Lecturer/Professor,Education, Teaching,Teaching,"Part Time, Freelance/Homebased",University Level
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,4,(15236 Reviews),5-8 Yrs,Not disclosed,Bengaluru,"IT Skills
Data Science
Analyst
Publishing
Excel
Statistical analysis
Architecture
data science",IT Skills,Data Science,Analyst,Publishing,Excel,Statistical analysis,Architecture,data science,PREFERRED,10 DAYS AGO,,,,,,
Software Developer - Golang & Data Science,EsoTeky Solutions Private Limited,,,7-10 Yrs,Not disclosed,Pune,"IT Skills
Java
Software Development
Data Science
Machine Learning
Cloud
DevOps
Elastic Search",IT Skills,Java,Software Development,Data Science,Machine Learning,Cloud,DevOps,Elastic Search,PREMIUM,4 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Analytics/Data Science,COLLABERA,3.6,(445 Reviews),1-3 Yrs,"3,00,000 - 5,00,000 PA.",Pune,"Data Science
R
Excel
Data Analytics",Data Science,R,Excel,Data Analytics,,,,,HOT JOB,9 DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Temporary/Contractual",Analytics & BI
Data Science Manager,ZS Associates India Pvt Ltd,3.7,(257 Reviews),8-12 Yrs,Not disclosed,"Delhi NCR, Pune","nlp
data science
Data Scientist
Artificial Intelligence
Natural Language Processing
AI
analytical techniques
machine learning",nlp,data science,Data Scientist,Artificial Intelligence,Natural Language Processing,AI,analytical techniques,machine learning,PREMIUM,7 DAYS AGO,Other,Strategy, Management Consulting Firms,Other,"Full Time, Permanent",Other
Head of Data Science - Machine Learning - R/ Python/ Tensorflow,Beiing.in,,,10-14 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Testing
Data Science
Machine Learning
Elastic Search
Data Science
Regression Algorithms",IT Skills,Python,Testing,Data Science,Machine Learning,Elastic Search,Data Science,Regression Algorithms,PREMIUM,3 DAYS AGO,Head/VP/GM - Analytics & BI,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Senior Management
Data Science Product Manager Artificial Intelligence/ Machine Learning,Catalyst,,,4-9 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Big Data
Data Science
Tensorflow",IT Skills,Python,Data Science,Machine Learning,Artificial Intelligence,Big Data,Data Science,Tensorflow,PREMIUM,14 DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Science Lead,Integra Software Services Pvt. Ltd.,3.4,(106 Reviews),7-12 Yrs,Not disclosed,"Chennai, Pondicherry","NLP
Deep Learning
Python
IT Skills
Java
Python
Big Data
AWS",NLP,Deep Learning,Python,IT Skills,Java,Python,Big Data,AWS,PREMIUM,2 DAYS AGO,Team Lead/Technical Lead,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Consultant / Senior Consultant - Data Science,AbsolutData Research Analytics Solutions Pvt. Lt,,,4-8 Yrs,Not disclosed,"Pune, Gurgaon","Product management
Telecom
Supply chain management
Backend
Market research
Healthcare
Telecommunication
Automotive",Product management,Telecom,Supply chain management,Backend,Market research,Healthcare,Telecommunication,Automotive,,9 DAYS AGO,Software Developer,Construction, Engineering,IT Software - DBA,"Full Time, Permanent",Programming & Design
Assistant Director - Data Science,ExecBoardinAsia,,,9-10 Yrs,Not disclosed,Bengaluru,"Assistant Director
data science
Analytical
Machine learning
Research
Fact
Supervision",Assistant Director,data science,Analytical,Machine learning,Research,Fact,Supervision,,,8 DAYS AGO,Software Developer,Recruitment, Staffing,IT Software - eCommerce,"Full Time, Permanent",Programming & Design
Data Science,Accenture Solutions Pvt Ltd,4,(15236 Reviews),3-4 Yrs,Not disclosed,Bengaluru,"IT Skills
Data Science
Machine Learning
Business process
Client handling
deep learning
C
data science",IT Skills,Data Science,Machine Learning,Business process,Client handling,deep learning,C,data science,PREFERRED,,,,,,,
Data Science Trainer,NIIT Ltd.,3.8,(486 Reviews),10-15 Yrs,Not disclosed,Bengaluru,"Tensorflow
Data Science
R
Hadoop
Spark
Seaborn
Machine Learning
Deep Learning",Tensorflow,Data Science,R,Hadoop,Spark,Seaborn,Machine Learning,Deep Learning,PREFERRED,,,,,,,
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,4,(15236 Reviews),7-11 Yrs,Not disclosed,Bengaluru,"IT Skills
Data Science
Project Management
Power BI
BPO
project management
Publishing
Architecture",IT Skills,Data Science,Project Management,Power BI,BPO,project management,Publishing,Architecture,PREFERRED,10 DAYS AGO,,,,,,
Data Science Application Lead,Accenture Solutions Pvt Ltd,4,(15236 Reviews),8-10 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Data Science
Machine Learning
Cloud
Big Data
Azure
data science",IT Skills,Python,Data Science,Machine Learning,Cloud,Big Data,Azure,data science,PREFERRED,14 DAYS AGO,,,,,,
Principal Consultant- Data Science,D-Cube Analytics Private Limited ,,,6-10 Yrs,"15,00,000 - 25,00,000 PA.","Chennai, Bengaluru","Tensorflow
Algorithms
Machine Learning
IT Skills
Python
Machine Learning
Cloud
AWS",Tensorflow,Algorithms,Machine Learning,IT Skills,Python,Machine Learning,Cloud,AWS,PREMIUM,11 DAYS AGO,Practice Head  /  Practice Manager,IT-Software, Software Services,IT Software - DBA,"Full Time, Permanent",Senior Management
Looking For Associate Director -Data Science,Lendingkart Technologies Pvt. Ltd.,3.2,(104 Reviews),5-10 Yrs,"22,50,000 - 37,50,000 PA.",Bengaluru,"Mortgage
Risk Modeling
Collections
Modeling",Mortgage,Risk Modeling,Collections,Modeling,,,,,PREMIUM,14 DAYS AGO,Analytics Manager,Banking, Financial Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Director Data Science (principal Scientist),Search Advisers Services ( GUJ ) Pvt. Ltd.,,,10-20 Yrs,"50,00,000 - 90,00,000 PA.",Bengaluru,"Team Management
deep l&d
Data Mining
Process Improvement
Text Mining
Machine Learning
Statistics
Deep Learning",Team Management,deep l&d,Data Mining,Process Improvement,Text Mining,Machine Learning,Statistics,Deep Learning,PREMIUM,,Head/VP/GM - Analytics & BI,Internet, Ecommerce,Analytics & Business Intelligence,"Full Time, Permanent",Senior Management
Machine Learning Engineer - Data Modeling/ Data Science,Confidential,,,4-6 Yrs,Not disclosed,Pune,"IT Skills
Java
Python
Data Science
Machine Learning
Data Science
Java
R",IT Skills,Java,Python,Data Science,Machine Learning,Data Science,Java,R,PREMIUM,14 DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
"Data Science Engineer, SMART MFG & AI",Micron Semiconductor Asia Pte Ltd,5,(2 Reviews),6-10 Yrs,Not disclosed,Hyderabad,"Snowflake
Web Development
Image processing
Data science engineer
scikit-image
Angular
Node.js
typescript", Snowflake,Web Development ,Image processing ,Data science engineer, scikit-image,Angular, Node.js, typescript,PREFERRED,,,,,,,
SE- Data Science,Bold Technology Systems Private Limited,3.7,(22 Reviews),3-5 Yrs,Not disclosed,Noida(Sector-135 Noida),"deep learning
predictive modelling
r
python
NLP
data science
redshift
machine learning",deep learning,predictive modelling,r,python,NLP,data science,redshift,machine learning,PREMIUM,2 DAYS AGO,,,,,,
Manager Data Science,Reliance Jio Infocomm Ltd.,4,(8440 Reviews),5-8 Yrs,Not disclosed,Mumbai,"Report generation
Data management
Machine learning
Data structures
Business modeling
Mobile applications
Data warehousing
Predictive analytics",Report generation,Data management,Machine learning,Data structures,Business modeling,Mobile applications,Data warehousing,Predictive analytics,,14 DAYS AGO,Business Analyst,Telcom, ISP,IT Software - Application Programming,"Full Time, Permanent",System Design/Implementation/ERP/CRM
Associate Professor / Professor Data Science & Information Systems,Krea University,,,2-6 Yrs,Not disclosed,Chittoor,"Computer science
data science
Data management
Associate Professor
Machine learning
Programming
Research
data visualization",Computer science,data science,Data management,Associate Professor,Machine learning,Programming,Research,data visualization,,,Lecturer/Professor,Education, Teaching,Teaching,"Full Time, Permanent",University Level
Analyst-Data Science,Accenture Solutions Pvt Ltd,4,(15236 Reviews),3-5 Yrs,Not disclosed,Mumbai,"IT Skills
Data Science
Machine Learning
Project Management
BPO
project management
Publishing
Data management",IT Skills,Data Science,Machine Learning,Project Management,BPO,project management,Publishing,Data management,PREFERRED,,,,,,,
Manager Data Science,Reliance Jio Infocomm Ltd.,4,(8440 Reviews),5-10 Yrs,Not disclosed,Mumbai,"Report generation
Data management
Machine learning
Data structures
Business modeling
Mobile applications
Data warehousing
Predictive analytics",Report generation,Data management,Machine learning,Data structures,Business modeling,Mobile applications,Data warehousing,Predictive analytics,,9 DAYS AGO,Business Analyst,Telcom, ISP,IT Software - Application Programming,"Full Time, Permanent",System Design/Implementation/ERP/CRM
Hiring Data Science Team For MNC's,ICR INDIA CERTIFICATIONS PRIVATE LIMITED ,,,0-3 Yrs,"3,00,000 - 5,00,000 PA.","Chennai, Bengaluru, Hyderabad","python
C++
java",python,C++,java,,,,,,,,Business Analyst,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",System Design/Implementation/ERP/CRM
Senior Data Science Engineer,GAINSIGHT INC.,,,3-6 Yrs,Not disclosed,Hyderabad,"IT Skills
Java
Python
Software Development
Machine Learning
Product engineering
Coding
Consulting",IT Skills,Java,Python,Software Development,Machine Learning,Product engineering,Coding,Consulting,,8 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Head of Data Science - Machine Learning - R/ Python/ Tensorflow,Beiing.in,,,10-14 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Testing
Data Science
Machine Learning
Elastic Search
Data Science
Regression Algorithms",IT Skills,Python,Testing,Data Science,Machine Learning,Elastic Search,Data Science,Regression Algorithms,PREMIUM,3 DAYS AGO,Head/VP/GM - Analytics & BI,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Senior Management
Analytics Manager (Data Science)- Immediate joiner preferred from T1,BLUDGEON CONSULTANCY PRIVATE LIMITED  ,,,5-10 Yrs,"15,00,000 - 30,00,000 PA.",Delhi NCR,"Java
Azure
Architecture
Scala
Hadoop
Financial Sales
J2Ee
Spring",Java,Azure,Architecture,Scala,Hadoop,Financial Sales,J2Ee,Spring,PREMIUM,7 DAYS AGO,,KPO, Research,Analytics & Business Intelligence,"Full Time, Temporary/Contractual",Analytics & BI
Consultant / Senior Consultant - Data Science,AbsolutData Research Analytics Solutions Pvt. Lt,,,4-8 Yrs,Not disclosed,"Pune, Gurgaon","Product management
Telecom
Supply chain management
Backend
Market research
Healthcare
Telecommunication
Automotive",Product management,Telecom,Supply chain management,Backend,Market research,Healthcare,Telecommunication,Automotive,,9 DAYS AGO,Software Developer,Construction, Engineering,IT Software - DBA,"Full Time, Permanent",Programming & Design
Data Science/Analysis Expert - Machine Learning,Catalyst,,,2-6 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Data Science
Machine Learning
Tableau
Regression Algorithms
NLP
Data Scientist",IT Skills,Python,Data Science,Machine Learning,Tableau,Regression Algorithms,NLP,Data Scientist,PREMIUM,30+ DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Senior Manager –Data Science Engineer (Full Stack),Bajaj Finance Limited,3.9,(161 Reviews),7-11 Yrs,Not disclosed,Pune,"Java
Hive
Algorithms
NoSQL
Neo4J
Hadoop
MySQL
MS SQL Server",Java,Hive,Algorithms,NoSQL,Neo4J,Hadoop,MySQL,MS SQL Server,HOT JOB,3 DAYS AGO,Operations Manager,Banking, Financial Services,Financial Services,"Full Time, Permanent",Mutual Funds/Fund Management/Asset Management
Manager - Data Science,Merkle Inc.,,,3-8 Yrs,Not disclosed,Pune,"IT Skills
Python
Data Science
Tableau
Power BI
Data validation
Marketing analytics
SAS",IT Skills,Python,Data Science,Tableau,Power BI,Data validation,Marketing analytics,SAS,,9 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Manager - Data Science,Merkle Sokrati,3.5,(13 Reviews),3-8 Yrs,Not disclosed,Pune,"Data validation
data science
SAS
Troubleshooting
Adobe
Digital marketing
Analytics
Monitoring",Data validation,data science,SAS,Troubleshooting,Adobe,Digital marketing,Analytics,Monitoring,,10 DAYS AGO,Software Developer,Advertising, PR,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science,Accenture Solutions Pvt Ltd,4,(15236 Reviews),2-4 Yrs,Not disclosed,Mumbai,"IT Skills
Java
Python
Data Science
Tableau
Operations research
data science
Analytical",IT Skills,Java,Python,Data Science,Tableau,Operations research,data science,Analytical,PREFERRED,2 DAYS AGO,,,,,,
DATA SCIENCE ENGINEERS ,Summit Information Technologies Pvt. Ltd.c,,,2-9 Yrs,Not disclosed,Gurgaon,"IT Skills
Python
Data Science
data science
Analytics
Python",IT Skills,Python,Data Science,data science,Analytics,Python,,,,7 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science and Artificial Intelligence unpaid Internship,Aerofolic Business Solution ,,,0-1 Yrs,Not disclosed,Bengaluru,"NLP
Natural Language Processing
Text Mining
Machine Learning
Python",NLP,Natural Language Processing,Text Mining,Machine Learning,Python,,,,,10 DAYS AGO,Trainee,IT-Hardware & Networking,,Analytics & Business Intelligence,"Full Time, Permanent",Other
Assistant/ Associate Professor (Data Science/Artificial Intelligence),"LNCT Raisen, Bhopal",,,3-8 Yrs,Not disclosed,Bhopal,"Data Science
Artificial Intelligence",Data Science,Artificial Intelligence,,,,,,,HOT JOB,10 DAYS AGO,Assistant Professor,Education, Teaching,Teaching,"Full Time, Permanent",University Level
Sr Data Science Manager,HERE Technologies,4.2,(385 Reviews),10-18 Yrs,Not disclosed,"Mumbai, Mumbai City","IT Skills
Machine Learning
Big Data
AWS
Tableau
Data Scientist
AI
Machine Learning",IT Skills,Machine Learning,Big Data,AWS,Tableau,Data Scientist,AI,Machine Learning,PREMIUM,13 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Other,"Full Time, Permanent",Programming & Design
Manager Data Science,Reliance Jio Infocomm Ltd.,4,(8440 Reviews),5-7 Yrs,Not disclosed,Hyderabad,"Report generation
Data management
Machine learning
Data structures
Business modeling
Mobile applications
Data warehousing
Predictive analytics",Report generation,Data management,Machine learning,Data structures,Business modeling,Mobile applications,Data warehousing,Predictive analytics,,7 DAYS AGO,Business Analyst,Telcom, ISP,IT Software - Application Programming,"Full Time, Permanent",System Design/Implementation/ERP/CRM
Chief Intelligence Officer - Data Science & Analytics,Talpro,,,8-12 Yrs,Not disclosed,"Delhi/NCR Delhi NCR, Delhi, Mumbai, Bengaluru, Gurgaon Gurugram","machine learning
forecasting
SAS
decision trees
Data Management
Data Science
survival modeling
Statistics", machine learning, forecasting,SAS, decision trees,Data Management,Data Science , survival modeling,Statistics,HOT JOB,,Head/VP/GM - Analytics & BI,KPO, Research,Analytics & Business Intelligence,"Full Time, Permanent",Senior Management
Chief Intelligence Officer - Data Science & Analytics,Talpro,,,8-12 Yrs,Not disclosed,"Delhi NCR, Mumbai, Bengaluru, Gurgaon","SAS
Data Management
Statistics
Analytics",SAS,Data Management,Statistics,Analytics,,,,,PREMIUM,,,,,,,
Data Science Product Manager,Catalyst,,,4-9 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Big Data
Data Science Product Manager
R",IT Skills,Python,Data Science,Machine Learning,Artificial Intelligence,Big Data,Data Science Product Manager,R,PREMIUM,14 DAYS AGO,Analytics Manager,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Science Professional,Bion,,,3-5 Yrs,Not disclosed,Bengaluru,"IT Skills
Java
Python
Data Science
Machine Learning
Cloud
Oracle
Big Data",IT Skills,Java,Python,Data Science,Machine Learning,Cloud,Oracle,Big Data,PREMIUM,14 DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Science Product Manager,Bion,,,4-9 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Big Data
Data Science Product Manager
Tensorflow / Keras libraries",IT Skills,Python,Data Science,Machine Learning,Artificial Intelligence,Big Data,Data Science Product Manager,Tensorflow / Keras libraries,PREMIUM,14 DAYS AGO,Analytics Manager,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Science / Machine Learning stream project intern,Vikatan,4.5,(21 Reviews),0-1 Yrs,Not disclosed,Chennai,"Computer science
Printing
Power house
Publishing
data science
Machine learning
Manager Technology
digital transformation",Computer science,Printing,Power house,Publishing,data science,Machine learning,Manager Technology,digital transformation,,30+ DAYS AGO,Software Developer,BPO, Call Centre,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Head - Data Science & Artificial Intelligence,MarketScope,,,13-19 Yrs,Not disclosed,Hyderabad,"IT Skills
Data Science
Artificial Intelligence
Data Science
IT Head
Data Scientist
Artificial Intelligence
Data Science head",IT Skills,Data Science,Artificial Intelligence,Data Science,IT Head,Data Scientist,Artificial Intelligence,Data Science head,PREMIUM,,Head/VP/GM - Analytics & BI,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Senior Management
Business Engagement Lead - Digital Transformation (Data Science),PEOPLESTRONG TECHNOLOGIES PRIVATE LIMITED  ,,,8-12 Yrs,"30,00,000 - 40,00,000 PA.",Hyderabad,"Data Science
Digital Transformation
analytics
Stakeholder Management",Data Science,Digital Transformation,analytics,Stakeholder Management,,,,,PREMIUM,2 DAYS AGO,Practice Head / Practice Manager,Pharma, Biotech,IT Software - Application Programming,"Full Time, Permanent",Senior Management
Part Time Academic Writer For Econometric/Data Science/Statistics,Paperpedia private limited,3.2,(18 Reviews),0-5 Yrs,Not disclosed,"Chennai, Delhi NCR(Sector-16 Noida), Bengaluru, Hyderabad, Noida, Kolkata","STATA
SPSS
Econometrics
Big Data Analytics
Eviews
Research
Statistics
Data Science",STATA,SPSS,Econometrics,Big Data Analytics,Eviews,Research,Statistics,Data Science,HOT JOB,30+ DAYS AGO,Other,Education, Teaching,Other,"Part Time, Freelance/Homebased",Other
